scope,audit_subset,pair,feature_idx,n_samples,gradxinput_mean,gradxinput_median,gradxinput_positive_frac,abs_gradxinput_mean,feature,strategy,rare_cell_ratio_trainref_le5,rare_used_bin_ratio_le5,entropy_norm,dominant_bin_ratio
pair_subset,all_wrong_high_conf,Benign→Ransomware,44,1,0.001682689180597663,0.001682689180597663,1.0,0.001682689180597663,modules.nmodules,discrete_compact_offset0,2.133287823193105e-05,0.3333333333333333,0.1489351871718083,0.9614088232784368
pair_subset,all_wrong_high_conf,Benign→Ransomware,45,1,0.022173898294568062,0.022173898294568062,1.0,0.022173898294568062,svcscan.nservices,discrete_compact_offset0,0.0005759877122621,0.5333333333333333,0.3474434787888976,0.4652274084819524
pair_subset,all_wrong_high_conf,Benign→Ransomware,46,1,-0.08945171535015106,-0.08945171535015106,0.0,0.08945171535015106,svcscan.kernel_drivers,discrete_compact_offset0,0.0003413260517108,0.631578947368421,0.2858217306248617,0.4982080382285178
pair_subset,all_wrong_high_conf,Benign→Ransomware,47,1,0.011095738969743252,0.011095738969743252,1.0,0.011095738969743252,svcscan.fs_drivers,discrete_compact_offset0,0.0001706630258554,0.7,0.0038660702130916,0.9990400204795632
pair_subset,all_wrong_high_conf,Benign→Ransomware,48,1,0.004054736346006393,0.004054736346006393,1.0,0.004054736346006393,svcscan.process_services,discrete_compact_offset0,0.0002559945387831,0.4285714285714285,0.3262482609122556,0.590664732485707
pair_subset,all_wrong_high_conf,Benign→Ransomware,49,1,0.017280051484704018,0.017280051484704018,1.0,0.017280051484704018,svcscan.shared_process_services,discrete_compact_offset0,0.0004693233211024,0.6363636363636364,0.2762666726609017,0.4982080382285178
pair_subset,all_wrong_high_conf,Benign→Ransomware,50,1,0.005855982191860676,0.005855982191860676,1.0,0.005855982191860676,svcscan.interactive_process_services,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair_subset,all_wrong_high_conf,Benign→Ransomware,51,1,-0.2714361250400543,-0.2714361250400543,0.0,0.2714361250400543,svcscan.nactive,discrete_compact_offset0,0.0005119890775663,0.4117647058823529,0.6257817858570436,0.2431094803310862
pair_subset,all_wrong_high_conf,Benign→Ransomware,52,1,0.024694081395864487,0.024694081395864487,1.0,0.024694081395864487,callbacks.ncallbacks,discrete_compact_offset0,0.0001493301476235,0.3076923076923077,0.4401119934117515,0.4277028756719856
pair_subset,all_wrong_high_conf,Benign→Ransomware,53,1,-0.015615860931575298,-0.015615860931575298,0.0,0.015615860931575298,callbacks.nanonymous,discrete_compact_offset0,0.0,0.0,0.009929783324449,0.9991466848707228
pair_subset,all_wrong_high_conf,Benign→Ransomware,54,1,0.11406069993972778,0.11406069993972778,1.0,0.11406069993972778,callbacks.ngeneric,discrete_compact_offset0,0.0,0.0,0.0018398586095722,0.9998720027306084
pair_subset,all_wrong_high_conf,Benign→Spyware,0,3,0.23093287646770477,0.21655380725860596,0.6666666666666666,0.23445673286914825,pslist.nproc,discrete_compact_offset0,0.0014933014762351,0.4761904761904761,0.5634949111118889,0.1704496970731291
pair_subset,all_wrong_high_conf,Benign→Spyware,1,3,-0.003839698387309909,-0.0033448487520217896,0.3333333333333333,0.00403245585039258,pslist.nppid,discrete_compact_offset0,0.0010026452769007,0.5625,0.5190073122926573,0.2815086611485621
pair_subset,all_wrong_high_conf,Benign→Spyware,2,3,0.43964967131614685,0.05826537311077118,1.0,0.43964967131614685,pslist.avg_threads,rank_uniform_offset,0.0,0.0,0.883099511072012,0.0371618738800238
pair_subset,all_wrong_high_conf,Benign→Spyware,3,3,0.6530983448028564,0.026159383356571198,0.6666666666666666,0.6567991375923157,pslist.nprocs64bit,constant,0.0,0.0,-1.4428232973175177e-12,1.0
pair_subset,all_wrong_high_conf,Benign→Spyware,4,3,0.07681474834680557,0.11062588542699814,0.6666666666666666,0.08258470147848129,pslist.avg_handlers,rank_uniform_offset,0.0,0.0,0.957794232611417,0.0151250106664391
pair_subset,all_wrong_high_conf,Benign→Spyware,5,3,0.9708170294761658,0.15322521328926086,1.0,0.9708170294761658,dlllist.ndlls,keep_current,0.0059518730267087,0.130859375,0.8525194789024727,0.0283513951702363
