feature,split,strategy,K,raw_unique,bins_used,dead_bins,dead_bins_ratio,possible_unique,preserve_ratio,compression_factor,entropy_norm,dominant_bin_ratio,rare_bins_le5,rare_used_bin_ratio_le5,rare_sample_ratio_le5,offset_nonzero_ratio,offset_zero_ratio,offset_unique_count_rounded_1e6,offset_mean,offset_std,integer_position_ratio_inferred,used_even_bins,used_odd_bins,used_odd_bin_ratio,occupied_gap_mean,occupied_gap_max,occupied_gap_min,compact_n_unique,compact_unseen_val_count,compact_offset_zero,original_c2_strategy,effective_strategy,feature_index,abs_min,abs_max,abs_constant,abs_uses_K_minus_1,constant
psxview.not_in_deskthrd_false_avg,train,rank_replaced_by_abs_uniform_control,1024,9655,567,457,0.4462890625,1024,0.5537109375,17.02821869488536,0.7270295878206029,0.06273999488010923,209,0.36860670194003525,0.00851181841454049,0.9999573342435362,4.26657564638621e-05,9588,0.5832621455192566,0.2745494544506073,4.26657564638621e-05,277,290,0.5114638447971781,1.8074204946996466,39,1,,,,rank_uniform_offset,rank_replaced_by_abs_uniform_control,43,0.04375,0.8625,False,True,
modules.nmodules,train,discrete_compact_offset0,1024,3,3,1021,0.9970703125,3,1.0,1.0,0.14893518717180834,0.9614088232784367,1,0.3333333333333333,2.133287823193105e-05,0.0,1.0,1,0.0,0.0,1.0,2,1,0.3333333333333333,1.0,1,1,3.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,44,,,,,
svcscan.nservices,train,discrete_compact_offset0,1024,30,30,994,0.970703125,30,1.0,1.0,0.34744347878889764,0.4652274084819524,16,0.5333333333333333,0.0005759877122621384,0.0,1.0,1,0.0,0.0,1.0,15,15,0.5,1.0,1,1,30.0,2.0,True,discrete_compact_offset0,discrete_compact_offset0,45,,,,,
svcscan.kernel_drivers,train,discrete_compact_offset0,1024,19,19,1005,0.9814453125,19,1.0,1.0,0.28582173062486177,0.4982080382285178,12,0.631578947368421,0.0003413260517108968,0.0,1.0,1,0.0,0.0,1.0,10,9,0.47368421052631576,1.0,1,1,19.0,2.0,True,discrete_compact_offset0,discrete_compact_offset0,46,,,,,
svcscan.fs_drivers,train,discrete_compact_offset0,1024,10,10,1014,0.990234375,10,1.0,1.0,0.003866070213091662,0.9990400204795631,7,0.7,0.0001706630258554484,0.0,1.0,1,0.0,0.0,1.0,5,5,0.5,1.0,1,1,10.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,47,,,,,
svcscan.process_services,train,discrete_compact_offset0,1024,14,14,1010,0.986328125,14,1.0,1.0,0.32624826091225567,0.590664732485707,6,0.42857142857142855,0.00025599453878317265,0.0,1.0,1,0.0,0.0,1.0,7,7,0.5,1.0,1,1,14.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,48,,,,,
svcscan.shared_process_services,train,discrete_compact_offset0,1024,22,22,1002,0.978515625,22,1.0,1.0,0.2762666726609017,0.4982080382285178,14,0.6363636363636364,0.00046932332110248315,0.0,1.0,1,0.0,0.0,1.0,11,11,0.5,1.0,1,1,22.0,2.0,True,discrete_compact_offset0,discrete_compact_offset0,49,,,,,
svcscan.interactive_process_services,train,constant,1024,1,1,1023,0.9990234375,1,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,0,0.0,0.0,0,0,,,,constant,constant,50,,,,,True
svcscan.nactive,train,discrete_compact_offset0,1024,34,34,990,0.966796875,34,1.0,1.0,0.6257817858570436,0.24310948033108626,14,0.4117647058823529,0.0005119890775663453,0.0,1.0,1,0.0,0.0,1.0,17,17,0.5,1.0,1,1,34.0,2.0,True,discrete_compact_offset0,discrete_compact_offset0,51,,,,,
callbacks.ncallbacks,train,discrete_compact_offset0,1024,13,13,1011,0.9873046875,13,1.0,1.0,0.44011199341175156,0.42770287567198567,4,0.3076923076923077,0.00014933014762351737,0.0,1.0,1,0.0,0.0,1.0,7,6,0.46153846153846156,1.0,1,1,13.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,52,,,,,
callbacks.nanonymous,train,discrete_compact_offset0,1024,2,2,1022,0.998046875,2,1.0,1.0,0.009929783324449003,0.9991466848707228,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,1,0.5,1.0,1,1,2.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,53,,,,,
callbacks.ngeneric,train,discrete_compact_offset0,1024,2,2,1022,0.998046875,2,1.0,1.0,0.0018398586095722102,0.9998720027306084,0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1,1,0.5,1.0,1,1,2.0,0.0,True,discrete_compact_offset0,discrete_compact_offset0,54,,,,,
