audit_subset,pair,feature_idx,feature,strategy,n_samples,scope,last_cls_attention_mean,last_cls_attention_median,rollout_attention_mean,rollout_attention_median
correct_high_conf_control,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,320,subset,,,,
feature_space_overlap,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,320,subset,,,,
model_amplification,ALL,38,psxview.not_in_eprocess_pool_false_avg,keep_current,320,subset,,,,
all_wrong_high_conf,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,39,psxview.not_in_ethread_pool_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,40,psxview.not_in_pspcid_list_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,320,subset,,,,
feature_space_overlap,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,320,subset,,,,
model_amplification,ALL,41,psxview.not_in_csrss_handles_false_avg,rank_uniform_offset,320,subset,,,,
all_wrong_high_conf,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,320,subset,,,,
cls_ood_confident,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,320,subset,,,,
correct_high_conf_control,ALL,42,psxview.not_in_session_false_avg,rank_uniform_offset,320,subset,,,,
