run,split,feature_idx,feature,strategy,num_bins,bins_used,dead_bins,used_bin_ratio,dominant_bin,dominant_bin_count,dominant_bin_ratio,rare_used_bins_le5,rare_used_bin_ratio_le5,rare_cell_ratio_own_le5,rare_cell_ratio_trainref_le5,unseen_cell_ratio_trainref,entropy_norm,compression_factor,offset_nonzero_ratio,offset_mean,offset_std,offset_unique_approx,class_Benign_bins_used,class_Benign_dominant_ratio,class_Benign_rare_trainref_ratio,class_Ransomware_bins_used,class_Ransomware_dominant_ratio,class_Ransomware_rare_trainref_ratio,class_Spyware_bins_used,class_Spyware_dominant_ratio,class_Spyware_rare_trainref_ratio,class_Trojan_bins_used,class_Trojan_dominant_ratio,class_Trojan_rare_trainref_ratio
K1024_RANK_SAFE,train,12,handles.ndesktop,unknown,1024,60,964,0.05859375,23,7753,0.16539380493216144,10,0.16666666666666666,0.0003839918081747589,0.0003839918081747589,0.0,0.6624280875401419,781.2666666666667,0.0,0.0,0.0,1,52,0.2231419063059988,0.0012799726939158632,31,0.1381511746680286,0.0014044943820224719,49,0.13161177644710578,0.005738522954091816,35,0.17444005270092228,0.004874835309617918
K1024_RANK_SAFE,train,13,handles.nkey,unknown,1024,522,502,0.509765625,163,1606,0.03426060244048127,163,0.31226053639846746,0.0063785305913473846,0.0063785305913473846,0.0,0.7966202496672807,89.80076628352491,0.9999573342435362,0.5086719989776611,0.28356465697288513,1059,383,0.05038825838382115,0.013226384503797253,172,0.06601123595505617,0.023876404494382022,295,0.06649201596806387,0.03954590818363273,183,0.09183135704874835,0.02292490118577075
K1024_RANK_SAFE,train,14,handles.nthread,unknown,1024,746,278,0.728515625,172,587,0.012522399522143528,180,0.24128686327077747,0.00870381431862787,0.00870381431862787,0.0,0.8879059701383881,62.83646112600536,0.9994240122877378,0.5036655068397522,0.2881649136543274,546,619,0.016895639559689393,0.019711579486304292,268,0.02311031664964249,0.022727272727272728,333,0.02407684630738523,0.03829840319361277,276,0.028326745718050064,0.033069828722002634
K1024_RANK_SAFE,train,15,handles.ndirectory,unknown,1024,104,920,0.1015625,44,4681,0.09985920300366925,21,0.20192307692307693,0.0010026452769007594,0.0010026452769007594,0.0,0.7041268139226854,450.7307692307692,0.0,0.0,0.0,1,92,0.13678641522314192,0.0034985920300366923,58,0.12665985699693566,0.005362614913176711,83,0.1121506986027944,0.008358283433133733,51,0.14084321475625824,0.002898550724637681
K1024_RANK_SAFE,train,16,handles.nsemaphore,unknown,1024,624,400,0.609375,418,1789,0.038164519156924655,199,0.3189102564102564,0.012949057086782149,0.012949057086782149,0.0,0.8012217111358376,75.12179487179488,0.9999573342435362,0.5022760033607483,0.29273900389671326,623,486,0.04569502517279631,0.025898114173564298,269,0.1018896833503575,0.03843207354443309,335,0.10017465069860279,0.05376746506986028,251,0.116600790513834,0.04519104084321476
K1024_RANK_SAFE,train,17,handles.ntimer,unknown,1024,123,901,0.1201171875,30,4015,0.08565150610120317,30,0.24390243902439024,0.0013866370850755185,0.0013866370850755185,0.0,0.7453838702633432,381.1056910569106,0.0,0.0,0.0,1,90,0.11417356429729499,0.002474613874904002,60,0.17951991828396321,0.006767109295199183,87,0.14471057884231536,0.010978043912175649,62,0.19090909090909092,0.007246376811594203
K1024_RANK_SAFE,train,18,handles.nsection,unknown,1024,62,962,0.060546875,8,7651,0.16321785135250447,17,0.27419354838709675,0.00040532468640669,0.00040532468640669,0.0,0.6968241013472645,756.0645161290323,0.9999573342435362,0.530153751373291,0.3050896227359772,611,45,0.1637938390647666,0.0008533151292772421,23,0.30822267620020427,0.0015321756894790602,50,0.3157435129740519,0.005863273453093812,21,0.3525691699604743,0.002108036890645586
K1024_RANK_SAFE,train,19,handles.nmutant,unknown,1024,405,619,0.3955078125,246,2586,0.0551668231077737,59,0.145679012345679,0.00243194811844014,0.00243194811844014,0.0,0.8406808847073096,115.7432098765432,0.805380151890093,0.4082302451133728,0.2871685326099396,5,363,0.051753562590664735,0.011519754245242769,132,0.10967824310520939,0.010597548518896834,172,0.09718063872255489,0.016092814371257484,144,0.12490118577075099,0.019367588932806323
K1024_RANK_SAFE,train,20,ldrmodules.not_in_load,unknown,1024,145,879,0.1416015625,176,3319,0.07080382285177916,29,0.2,0.001599965867394829,0.001599965867394829,0.0,0.7895089801002002,323.28275862068966,0.9999360013653043,0.5093467235565186,0.2886631488800049,144,133,0.06523594163324516,0.003285263247717382,76,0.16713483146067415,0.010597548518896834,83,0.11601796407185629,0.009481037924151697,61,0.15889328063241107,0.008827404479578393
K1024_RANK_SAFE,train,21,ldrmodules.not_in_init,unknown,1024,180,844,0.17578125,286,2394,0.05107091048724294,38,0.2111111111111111,0.0020266234320334498,0.0020266234320334498,0.0,0.8092464216563752,260.4222222222222,0.9686406689990613,0.5148187875747681,0.3081662654876709,82,153,0.058025428790852464,0.004181244133458486,90,0.09856996935648621,0.010469867211440245,110,0.09892714570858284,0.015469061876247504,80,0.11212121212121212,0.008300395256916997
K1024_RANK_SAFE,train,22,ldrmodules.not_in_mem,unknown,1024,145,879,0.1416015625,176,3309,0.07059049406945986,29,0.2,0.001599965867394829,0.001599965867394829,0.0,0.789586786756279,323.28275862068966,0.9999360013653043,0.5091197490692139,0.2886137068271637,144,133,0.06523594163324516,0.003285263247717382,77,0.16675178753830439,0.010597548518896834,83,0.11651696606786427,0.009481037924151697,61,0.15836627140974968,0.008168642951251647
K1024_RANK_SAFE,train,23,ldrmodules.not_in_load_avg,unknown,1024,1024,0,1.0,482,879,0.018751599965867394,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9141750322526973,45.77734375,0.9999573342435362,0.5106834769248962,0.28146353363990784,15443,1011,0.03750319993173479,0.02167420428364195,493,0.015066394279877425,0.05656281920326864,550,0.022579840319361277,0.07609780439121756,423,0.02002635046113307,0.045981554677206854
K1024_RANK_SAFE,train,24,ldrmodules.not_in_init_avg,unknown,1024,1024,0,1.0,419,893,0.019050260261114428,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9258716464642752,45.77734375,0.9989546889666354,0.4982173442840576,0.2843931317329407,472,1018,0.03733253690587934,0.004693233211024831,703,0.016853932584269662,0.10725229826353422,755,0.01808882235528942,0.11988522954091817,627,0.014097496706192359,0.09736495388669301
K1024_RANK_SAFE,train,25,ldrmodules.not_in_mem_avg,unknown,1024,1024,0,1.0,482,879,0.018751599965867394,1,0.0009765625,2.133287823193105e-05,2.133287823193105e-05,0.0,0.9151223037618169,45.77734375,0.9999573342435362,0.5184676051139832,0.27431008219718933,15443,1011,0.03750319993173479,0.022271524874136018,493,0.015066394279877425,0.05886108273748723,551,0.0188373253493014,0.07859281437125748,425,0.02015810276679842,0.045454545454545456
K1024_RANK_SAFE,train,26,malfind.ninjections,unknown,1024,111,913,0.1083984375,2,19889,0.4242896151548767,49,0.44144144144144143,0.002367949483744347,0.002367949483744347,0.0,0.414439567232933,422.3063063063063,0.0,0.0,0.0,1,21,0.28820718491338854,0.0003413260517108968,78,0.6049540347293156,0.010980592441266599,83,0.6065369261477046,0.01222554890219561,39,0.6592885375494071,0.005006587615283268
K1024_RANK_SAFE,train,27,malfind.commitCharge,unknown,1024,121,903,0.1181640625,0,44607,0.9515956992917485,88,0.7272727272727273,0.004586568819865176,0.004586568819865176,0.0,0.06114704583331559,387.40495867768595,0.9893762266404983,0.06875729560852051,0.177344411611557,487,1,1.0,0.0,64,0.8849591419816139,0.010597548518896834,45,0.8549151696606786,0.009481037924151697,54,0.9729907773386034,0.015678524374176547
